revenue,gender,age,engaged_last_30,lifecycle, days_since_last_order ,previous_order_amount,3rd_party_stores
,,,,B,2.42,4032.161,0
1962.58,,,,A,0.87,3655.14,0
259.89,1,67,0,B,3.26,1127.96,0
91.97,1,52,0,A,0.13,3488.96,0
541.55,,,,C,22.74,0,10
24.99,1,39,0,C,16.55,665.587,7
685.99,1,48,0,B,0.58,7367.04,0
239.99,1,33,0,C,4.52,4278.57,1
86.98,,,,C,12.74,0,10
19.99,1,55,0,C,15.06,1900.99,6
52.97,1,61,0,C,13.13,865,5
559.41,1,68,0,C,2.1,813,0
489.99,1,56,0,A,0.19,2880.2,0
50.98,0,48,0,C,5.52,1103.07,2
590.21,1,80,0,C,7.39,2272.32,0
39.98,1,55,0,C,5.19,1363.68,2
79.56,,,,C,9.55,3331.946,4
41.98,,,,C,9.03,1141.317,4
1323.6,,,,A,0.13,3239.96,0
414.55,1,52,0,A,0.42,743.97,0
159,1,86,1,C,11.77,2455,0
66.98,1,48,0,C,9.74,418,2
1247.95,,,,C,14.94,3257.554,0
245.97,1,80,0,C,10.81,7247.958,0
849.99,1,71,0,C,6.35,531.99,0
128.96,1,69,0,C,2.48,0,10
379.99,,,,B,1.32,1358.561,0
99.99,0,50,0,C,17.29,3928.47,7
19.99,,,,B,2.52,1589.97,0
391.98,,,,C,18.65,1268,0
119.95,1,51,0,C,13.52,2742.359,0
409.94,1,64,0,C,11.16,915.02,10
290.98,1,55,0,B,1.58,3988.93,0
124.94,1,53,0,A,0.13,1012.74,0
408.94,,,,C,8.35,2246.574,0
196.97,1,54,0,B,2.48,3242.249,0
119.99,1,57,0,C,2.97,0,10
103.96,0,67,0,C,6.68,0,3
59.99,,,,C,18.65,2939.92,10
27.99,1,75,0,C,12.23,2766.009,5
239,1,55,0,C,10.84,1035.19,10
54.97,0,30,0,C,7.61,393.32,3
90.92,,,,C,0.26,2637.647,10
239,1,56,0,C,15.23,1541.384,10
49.99,1,54,0,C,11.26,410.69,0
50.52,1,68,0,B,1.9,656.92,0
524.939,1,76,1,B,1.65,9613.096,0
214.99,1,72,0,C,5.48,2001.584,2
391.99,1,46,0,C,12.35,1558.6,3
94.99,,,,C,11.23,1366.71,2
32.98,1,64,0,B,1.29,4914.341,0
39.98,1,63,0,C,3.45,4123.901,1
42.98,1,90,0,A,1,3261.829,0
27.99,1,55,1,C,14.16,1064.09,0
734.94,,,,C,9.52,2762.829,0
356.3,,,,A,0.39,371.6,0
198.99,1,58,0,B,0.9,1945.97,0
422.99,1,85,1,C,14.61,2152.544,8
101.67,1,63,0,C,4.84,2925.838,0
504.97,1,48,0,C,6.71,11597.9,0
119.99,,,,B,1.23,0,0
676.99,,,,C,2.87,1998.982,10
140,1,81,0,C,8,664.98,10
448.99,,,,C,0.29,0,10
593.97,1,81,0,C,12.77,4031.432,0
599.99,,,,C,22.23,2178.036,10
478.96,,,,C,6.94,307.51,0
133.96,1,75,0,C,4.55,1956.229,5
158,,,,C,1.23,822.32,10
239,1,82,0,C,11.35,974,3
1133.84,1,70,0,C,6.23,3355.894,1
328,,,,C,5.77,406.95,2
399.99,,,,B,2.94,1766.254,0
36.98,1,68,0,B,1.87,523.98,0
688.97,,,,B,2.74,1153.96,0
66.98,1,65,0,C,4.77,1934.386,5
149.99,,,,C,5.77,1333.49,0
514.99,1,61,0,C,4.65,1037.41,2
89.99,1,59,0,C,6.94,2487.087,1
338.42,1,44,0,C,11,3830.44,0
411.59,,,,C,8.23,1797.96,5
30.99,1,62,0,C,22.48,824.02,10
349.99,,,,B,1.68,1097.98,0
554.97,1,42,0,A,0.19,3908.504,0
179.46,1,69,1,A,0.23,988.97,0
646.96,1,85,0,C,10.29,0,10
574.98,,,,A,0.13,1633.521,0
71.18,1,71,0,C,9.16,1106.67,3
304.99,1,41,0,C,11.48,4797.924,0
838.97,1,53,0,C,20.45,929.99,1
129.98,1,71,0,C,7.87,1052.601,10
552.98,1,46,0,B,4.65,1682.98,0
40.99,,,,C,10.13,0,4
239,,,,C,1.23,1022.472,3
57.98,,,,C,6.55,0,2
414.96,1,49,0,B,2.9,1796.557,0
558.98,,,,C,7,1030.99,0
111.94,,,,C,5.94,8.99,2
232.35,1,67,0,A,0.13,2553.627,0
59.98,1,64,0,C,13.32,1798.36,5
36.98,1,38,0,C,8.39,839.682,3
329.99,1,66,0,C,10.13,1840.47,0
986.5,,,,B,1.65,3577.93,0
39.99,1,57,1,C,22.58,1096.05,10
199.99,1,49,0,B,3.23,577.99,0
